          month caisson  hours
1    1998-10-01       1    0.0
2    1998-11-01       1 2760.0
3    1998-12-01       1 2716.0
4    1999-01-01       1 1533.0
5    1999-02-01       1 1299.0
6    1999-03-01       1 1236.0
7    1999-04-01       1  943.0
8    1999-05-01       1 1208.0
9    1999-06-01       1  877.0
10   1999-07-01       1  454.0
11   1999-08-01       1  433.0
12   1999-09-01       1  911.0
13   1999-10-01       1  837.0
14   1999-11-01       1 1246.0
15   1999-12-01       1 1007.0
16   2000-01-01       1 1079.0
17   2000-02-01       1  928.0
18   2000-03-01       1 1861.0
19   2000-04-01       1  807.0
20   2000-05-01       1  579.0
21   2000-06-01       1  785.0
22   2000-07-01       1  504.0
23   2000-08-01       1  414.0
24   2000-09-01       1  816.0
25   2000-10-01       1 1946.0
26   2000-11-01       1 1863.0
27   2000-12-01       1 1517.0
28   2001-01-01       1  899.0
29   2001-02-01       1  898.0
30   2001-03-01       1  862.0
31   2001-04-01       1  409.0
32   2001-05-01       1  471.0
33   2001-06-01       1 1374.0
34   2001-07-01       1  909.0
35   2001-08-01       1  741.0
36   2001-09-01       1 1122.0
37   2001-10-01       1 1513.0
38   2001-11-01       1 1280.0
39   2001-12-01       1 1789.0
40   2002-01-01       1 1286.0
41   2002-02-01       1  970.0
42   2002-03-01       1 1253.0
43   2002-04-01       1  709.0
44   2002-05-01       1 1048.0
45   2002-06-01       1  546.0
46   2002-07-01       1  603.0
47   2002-08-01       1  776.0
48   2002-09-01       1 1124.0
49   2002-10-01       1  574.0
50   2002-11-01       1 1069.0
51   2002-12-01       1  711.0
52   2003-01-01       1  548.0
53   2003-02-01       1  560.0
54   2003-03-01       1  416.0
55   2003-04-01       1  531.0
56   2003-05-01       1  439.0
57   2003-06-01       1  842.0
58   2003-07-01       1  634.0
59   2003-08-01       1  635.0
60   2003-09-01       1  423.0
61   2003-10-01       1  570.0
62   2003-11-01       1  847.0
63   2003-12-01       1  791.0
64   2004-01-01       1  563.0
65   2004-02-01       1  392.0
66   2004-03-01       1  990.0
67   2004-04-01       1  970.0
68   2004-05-01       1 1394.0
69   2004-07-01       1  962.0
70   2004-08-01       1  472.0
71   2004-09-01       1  543.0
72   2004-10-01       1  793.0
73   2004-11-01       1 1115.0
74   2004-12-01       1  998.0
75   2005-01-01       1 1750.0
76   2005-02-01       1  858.0
77   2005-04-01       1  721.0
78   2005-05-01       1  705.0
79   2005-06-01       1  817.0
80   2005-07-01       1 1003.0
81   2005-08-01       1 1061.0
82   2005-09-01       1  979.0
83   2005-10-01       1  814.0
84   2005-11-01       1 1036.0
85   2005-12-01       1  802.0
86   2006-01-01       1 1821.0
87   2006-03-01       1  837.0
88   2006-04-01       1  570.0
89   2006-05-01       1  239.0
90   2006-06-01       1  536.0
91   2006-07-01       1  535.0
92   2006-09-01       1  423.0
93   2006-10-01       1  849.0
94   2006-11-01       1  569.0
95   2006-12-01       1 4181.0
96   2007-01-01       1  248.0
97   2007-02-01       1  317.0
98   2007-03-01       1  471.0
99   2007-04-01       1  135.0
100  2007-05-01       1  199.0
101  2007-06-01       1  169.0
102  2007-08-01       1  239.0
103  2007-09-01       1  176.0
104  2007-10-01       1  197.0
105  2007-11-01       1  298.0
106  2008-01-01       1  134.0
107  2008-02-01       1  336.0
108  2008-03-01       1  201.0
109  2008-05-01       1  183.0
110  2008-06-01       1  321.0
111  2008-08-01       1  199.0
112  2008-09-01       1  132.0
113  2008-10-01       1  211.0
114  2008-11-01       1  253.0
115  2008-12-01       1  147.0
116  2009-02-01       1  130.0
117  2009-03-01       1  104.0
118  2009-04-01       1   59.0
119  2009-05-01       1   56.0
120  2009-06-01       1   26.0
121  2009-07-01       1   29.0
122  2009-08-01       1   58.0
123  2009-10-01       1   48.0
124  2009-11-01       1  215.0
125  2010-01-01       1   53.0
126  2010-02-01       1  200.0
127  2010-03-01       1   81.0
128  2010-05-01       1   29.0
129  2010-06-01       1   53.0
130  2010-07-01       1   70.0
131  2010-08-01       1   64.0
132  2010-09-01       1   58.0
133  2010-10-01       1  173.0
134  2010-11-01       1  163.0
135  2010-12-01       1   67.0
136  2011-01-01       1  879.0
137  2011-02-01       1  607.0
138  2011-03-01       1  792.0
139  2011-05-01       1  247.0
140  2011-06-01       1  140.0
141  2011-07-01       1  342.0
142  2011-08-01       1  186.0
143  2011-09-01       1  248.0
144  2011-10-01       1  515.0
145  2011-12-01       1  247.0
146  2012-01-01       1  382.0
147  2012-02-01       1  449.0
148  2012-04-01       1  464.0
149  2012-05-01       1  273.0
150  2012-06-01       1  288.0
151  2012-07-01       1  500.0
152  2012-08-01       1  562.0
153  2012-09-01       1  201.0
154  2012-10-01       1  378.0
155  2012-11-01       1  500.0
156  2012-12-01       1  295.0
157  2013-01-01       1  234.0
158  2013-02-01       1  245.0
159  2013-03-01       1  148.0
160  2013-04-01       1  179.0
161  2013-05-01       1  132.0
162  2013-06-01       1  116.0
163  2013-07-01       1  149.0
164  2013-08-01       1  131.0
165  2013-09-01       1  130.0
166  2013-10-01       1  370.0
167  2013-11-01       1  281.0
168  2013-12-01       1  170.0
169  2014-01-01       1  335.0
170  2014-02-01       1  204.0
171  2014-03-01       1  502.0
172  2014-04-01       1  223.0
173  2014-05-01       1  206.0
174  2014-06-01       1  130.0
175  2014-07-01       1  198.0
176  2014-08-01       1  154.0
177  2014-09-01       1  235.0
178  2014-10-01       1  403.0
179  2014-11-01       1  393.0
180  2014-12-01       1  229.0
181  2015-01-01       1  198.0
182  2015-02-01       1  218.0
183  2015-03-01       1  294.0
184  2015-04-01       1  184.0
185  2015-05-01       1  295.0
186  1998-10-01       2    0.0
187  1998-11-01       2 1728.0
188  1998-12-01       2 1762.0
189  1999-01-01       2 1892.0
190  1999-02-01       2 3197.0
191  1999-03-01       2 2651.0
192  1999-04-01       2 1636.0
193  1999-05-01       2 1659.0
194  1999-06-01       2 1879.0
195  1999-07-01       2 1111.0
196  1999-08-01       2 1071.0
197  1999-09-01       2 1881.0
198  1999-10-01       2 1801.0
199  1999-11-01       2 2997.0
200  1999-12-01       2 2622.0
201  2000-01-01       2 3112.0
202  2000-02-01       2 1914.0
203  2000-03-01       2 4153.0
204  2000-04-01       2 2927.0
205  2000-05-01       2 1328.0
206  2000-06-01       2 1576.0
207  2000-07-01       2 1646.0
208  2000-08-01       2 1627.0
209  2000-09-01       2 1596.0
210  2000-10-01       2 2477.0
211  2000-11-01       2 2239.0
212  2000-12-01       2 2356.0
213  2001-01-01       2 2209.0
214  2001-02-01       2 2185.0
215  2001-03-01       2 2575.0
216  2001-04-01       2 1395.0
217  2001-05-01       2 1503.0
218  2001-06-01       2 1407.0
219  2001-07-01       2 1131.0
220  2001-08-01       2 1093.0
221  2001-09-01       2 1241.0
222  2001-10-01       2 1621.0
223  2001-11-01       2 2092.0
224  2001-12-01       2 2614.0
225  2002-01-01       2 2001.0
226  2002-02-01       2 2002.0
227  2002-03-01       2 1039.0
228  2002-04-01       2 1260.0
229  2002-05-01       2 1139.0
230  2002-06-01       2 1068.0
231  2002-07-01       2  886.0
