 "month" "caisson" "hours" "month" "caisson" "hours" "match?"
1 1998-10-01 1 0 1998-10-01 1 68817 TRUE
2 1998-11-01 1 2760 1998-11-01 1 86756 TRUE
3 1998-12-01 1 2716 1998-12-01 1 70044 TRUE
4 1999-01-01 1 1533 1999-01-01 1 70610 TRUE
5 1999-02-01 1 1299 1999-02-01 1 71200 TRUE
6 1999-03-01 1 1236 1999-03-01 1 89696 TRUE
7 1999-04-01 1 943 1999-04-01 1 72121 TRUE
8 1999-05-01 1 1208 1999-05-01 1 72391 TRUE
9 1999-06-01 1 877 1999-06-01 1 90785 TRUE
10 1999-07-01 1 454 1999-07-01 1 72821 TRUE
11 1999-08-01 1 433 1999-08-01 1 91299 TRUE
12 1999-09-01 1 911 1999-09-01 1 73472 TRUE
13 1999-10-01 1 837 1999-10-01 1 73931 TRUE
14 1999-11-01 1 1246 1999-11-01 1 74431 TRUE
15 1999-12-01 1 1007 1999-12-01 1 93656 TRUE
16 2000-01-01 1 1079 2000-01-01 1 75363 TRUE
17 2000-02-01 1 928 2000-02-01 1 94923 TRUE
18 2000-03-01 1 1861 2000-03-01 1 76576 TRUE
19 2000-04-01 1 807 2000-04-01 1 76868 TRUE
20 2000-05-01 1 579 2000-05-01 1 96469 TRUE
21 2000-06-01 1 785 2000-06-01 1 77482 TRUE
22 2000-07-01 1 504 2000-07-01 1 77658 TRUE
23 2000-08-01 1 414 2000-08-01 1 97361 TRUE
24 2000-09-01 1 816 2000-09-01 1 78216 TRUE
25 2000-10-01 1 1946 2000-10-01 1 78651 TRUE
26 2000-11-01 1 1863 2000-11-01 1 98912 TRUE
27 2000-12-01 1 1517 2000-12-01 1 79554 TRUE
28 2001-01-01 1 899 2001-01-01 1 99973 TRUE
29 2001-02-01 1 898 2001-02-01 1 80404 TRUE
30 2001-03-01 1 862 2001-03-01 1 80689 TRUE
31 2001-04-01 1 409 2001-04-01 1 80882 TRUE
32 2001-05-01 1 471 2001-05-01 1 101425 TRUE
33 2001-06-01 1 1374 2001-06-01 1 81340 TRUE
34 2001-07-01 1 909 2001-07-01 1 81524 TRUE
35 2001-08-01 1 741 2001-08-01 1 81670 TRUE
36 2001-09-01 1 1122 2001-09-01 1 81883 TRUE
37 2001-10-01 1 1513 2001-10-01 1 102767 TRUE
38 2001-11-01 1 1280 2001-11-01 1 82527 TRUE
39 2001-12-01 1 1789 2001-12-01 1 62079 TRUE
40 2002-01-01 1 1286 2002-01-01 1 20740 TRUE
41 2002-02-01 1 970 2002-02-01 1 83332 TRUE
42 2002-03-01 1 1253 2002-03-01 1 83536 TRUE
43 2002-04-01 1 709 2002-04-01 1 104675 TRUE
44 2002-05-01 1 1048 2002-05-01 1 83937 TRUE
45 2002-06-01 1 546 2002-06-01 1 84060 TRUE
46 2002-07-01 1 603 2002-07-01 1 84188 TRUE
47 2002-08-01 1 776 2002-08-01 1 84333 TRUE
48 2002-09-01 1 1124 2002-09-01 1 84603 TRUE
49 2002-10-01 1 574 2002-10-01 1 106217 TRUE
50 2002-11-01 1 1069 2002-11-01 1 64051 TRUE
51 2002-12-01 1 711 2002-12-01 1 107201 TRUE
52 2003-01-01 1 548 2003-01-01 1 86051 TRUE
53 2003-02-01 1 560 2003-02-01 1 86286 TRUE
54 2003-03-01 1 416 2003-03-01 1 108097 TRUE
55 2003-04-01 1 531 2003-04-01 1 86649 TRUE
56 2003-05-01 1 439 2003-05-01 1 86797 TRUE
57 2003-06-01 1 842 2003-06-01 1 86918 TRUE
58 2003-07-01 1 634 2003-07-01 1 108978 TRUE
59 2003-08-01 1 635 2003-08-01 1 87322 TRUE
60 2003-09-01 1 423 2003-09-01 1 109326 TRUE
61 2003-10-01 1 570 2003-10-01 1 87696 TRUE
62 2003-11-01 1 847 2003-11-01 1 87923 TRUE
63 2003-12-01 1 791 2003-12-01 1 110191 TRUE
64 2004-01-01 1 563 2004-01-01 1 88398 TRUE
65 2004-02-01 1 392 2004-02-01 1 88616 TRUE
66 2004-03-01 1 990 2004-03-01 1 111061 TRUE
67 2004-04-01 1 970 2004-04-01 1 89007 TRUE
68 2004-05-01 1 1394 2004-05-01 1 111436 TRUE
 2004-06-01   2004-06-01 1 66975 TRUE
69 2004-07-01 1 962 2004-07-01 1 89449 TRUE
70 2004-08-01 1 472 2004-08-01 1 111912 TRUE
71 2004-09-01 1 543 2004-09-01 1 89623 TRUE
72 2004-10-01 1 793 2004-10-01 1 89822 TRUE
73 2004-11-01 1 1115 2004-11-01 1 112561 TRUE
74 2004-12-01 1 998 2004-12-01 1 90197 TRUE
75 2005-01-01 1 1750 2005-01-01 1 113011 TRUE
76 2005-02-01 1 858 2005-02-01 1 90589 TRUE
 2005-03-01   2005-03-01 1 90732 TRUE
77 2005-04-01 1 721 2005-04-01 1 113533 TRUE
78 2005-05-01 1 705 2005-05-01 1 90979 TRUE
79 2005-06-01 1 817 2005-06-01 1 113934 TRUE
80 2005-07-01 1 1003 2005-07-01 1 91365 TRUE
81 2005-08-01 1 1061 2005-08-01 1 114485 TRUE
82 2005-09-01 1 979 2005-09-01 1 114623 TRUE
83 2005-10-01 1 814 2005-10-01 1 114898 TRUE
84 2005-11-01 1 1036 2005-11-01 1 115091 TRUE
85 2005-12-01 1 802 2005-12-01 1 92210 TRUE
86 2006-01-01 1 1821 2006-01-01 1 115557 TRUE
 2006-02-01   2006-02-01 1 92644 TRUE
87 2006-03-01 1 837 2006-03-01 1 116043 TRUE
88 2006-04-01 1 570 2006-04-01 1 93062 TRUE
