 month caisson hours
1 1998-10-01 1 68817
2 1998-11-01 1 86756
3 1998-12-01 1 70044
4 1999-01-01 1 70610
5 1999-02-01 1 71200
6 1999-03-01 1 89696
7 1999-04-01 1 72121
8 1999-05-01 1 72391
9 1999-06-01 1 90785
10 1999-07-01 1 72821
11 1999-08-01 1 91299
12 1999-09-01 1 73472
13 1999-10-01 1 73931
14 1999-11-01 1 74431
15 1999-12-01 1 93656
16 2000-01-01 1 75363
17 2000-02-01 1 94923
18 2000-03-01 1 76576
19 2000-04-01 1 76868
20 2000-05-01 1 96469
21 2000-06-01 1 77482
22 2000-07-01 1 77658
23 2000-08-01 1 97361
24 2000-09-01 1 78216
25 2000-10-01 1 78651
26 2000-11-01 1 98912
27 2000-12-01 1 79554
28 2001-01-01 1 99973
29 2001-02-01 1 80404
30 2001-03-01 1 80689
31 2001-04-01 1 80882
32 2001-05-01 1 101425
33 2001-06-01 1 81340
34 2001-07-01 1 81524
35 2001-08-01 1 81670
36 2001-09-01 1 81883
37 2001-10-01 1 102767
38 2001-11-01 1 82527
39 2001-12-01 1 62079
40 2002-01-01 1 20740
41 2002-02-01 1 83332
42 2002-03-01 1 83536
43 2002-04-01 1 104675
44 2002-05-01 1 83937
45 2002-06-01 1 84060
46 2002-07-01 1 84188
47 2002-08-01 1 84333
48 2002-09-01 1 84603
49 2002-10-01 1 106217
50 2002-11-01 1 64051
51 2002-12-01 1 107201
52 2003-01-01 1 86051
53 2003-02-01 1 86286
54 2003-03-01 1 108097
55 2003-04-01 1 86649
56 2003-05-01 1 86797
57 2003-06-01 1 86918
58 2003-07-01 1 108978
59 2003-08-01 1 87322
60 2003-09-01 1 109326
61 2003-10-01 1 87696
62 2003-11-01 1 87923
63 2003-12-01 1 110191
64 2004-01-01 1 88398
65 2004-02-01 1 88616
66 2004-03-01 1 111061
67 2004-04-01 1 89007
68 2004-05-01 1 111436
69 2004-06-01 1 66975
70 2004-07-01 1 89449
71 2004-08-01 1 111912
72 2004-09-01 1 89623
73 2004-10-01 1 89822
74 2004-11-01 1 112561
75 2004-12-01 1 90197
76 2005-01-01 1 113011
77 2005-02-01 1 90589
78 2005-03-01 1 90732
79 2005-04-01 1 113533
80 2005-05-01 1 90979
81 2005-06-01 1 113934
82 2005-07-01 1 91365
83 2005-08-01 1 114485
84 2005-09-01 1 114623
85 2005-10-01 1 114898
86 2005-11-01 1 115091
87 2005-12-01 1 92210
88 2006-01-01 1 115557
89 2006-02-01 1 92644
90 2006-03-01 1 116043
91 2006-04-01 1 93062
92 2006-05-01 1 116512
93 2006-06-01 1 140067
94 2006-07-01 1 93841
95 2006-08-01 1 94083
96 2006-09-01 1 117843
97 2006-10-01 1 118416
98 2006-11-01 1 118962
99 2006-12-01 1 119272
100 2007-01-01 1 119400
101 2007-02-01 1 119526
102 2007-03-01 1 143597
103 2007-04-01 1 95814
104 2007-05-01 1 119851
105 2007-06-01 1 119905
106 2007-07-01 1 95977
107 2007-08-01 1 120037
108 2007-09-01 1 96101
109 2007-10-01 1 120245
110 2007-11-01 1 144403
111 2007-12-01 1 96333
112 2008-01-01 1 120511
113 2008-02-01 1 144697
114 2008-03-01 1 144755
115 2008-04-01 1 96534
116 2008-05-01 1 120691
117 2008-06-01 1 120721
118 2008-07-01 1 72438
119 2008-08-01 1 120747
120 2008-09-01 1 120783
121 2008-10-01 1 120832
122 2008-11-01 1 96723
123 2008-12-01 1 145128
124 2009-01-01 1 96774
125 2009-02-01 1 96800
126 2009-03-01 1 96813
127 2009-04-01 1 121023
128 2009-05-01 1 96820
129 2009-06-01 1 121025
130 2009-07-01 1 121025
131 2009-08-01 1 121025
132 2009-09-01 1 96830
133 2009-10-01 1 121052
134 2009-11-01 1 121076
135 2009-12-01 1 96881
136 2010-01-01 1 48452
137 2010-02-01 1 96933
138 2010-03-01 1 121170
139 2010-04-01 1 96936
140 2010-05-01 1 121183
141 2010-06-01 1 121199
142 2010-07-01 1 121212
143 2010-08-01 1 121221
144 2010-09-01 1 121242
145 2010-10-01 1 121294
146 2010-11-01 1 121420
147 2010-12-01 1 97266
148 2011-01-01 1 122022
149 2011-02-01 1 122458
150 2011-03-01 1 98131
151 2011-04-01 1 98112
152 2011-05-01 1 122830
153 2011-06-01 1 122895
154 2011-07-01 1 98469
155 2011-08-01 1 123178
156 2011-09-01 1 123290
157 2011-10-01 1 123504
158 2011-11-01 1 98886
159 2011-12-01 1 123742
160 2012-01-01 1 123942
