Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,024006,1896,03,0.0,Y
IDCJAC0001,024006,1896,04,4.4,Y
IDCJAC0001,024006,1896,05,17.1,Y
IDCJAC0001,024006,1896,06,20.1,Y
IDCJAC0001,024006,1896,07,8.2,Y
IDCJAC0001,024006,1896,08,5.6,Y
IDCJAC0001,024006,1896,09,1.0,Y
IDCJAC0001,024006,1896,10,9.7,Y
IDCJAC0001,024006,1896,11,2.6,Y
IDCJAC0001,024006,1896,12,4.8,Y
IDCJAC0001,024006,1897,01,1.6,Y
IDCJAC0001,024006,1897,02,5.6,Y
IDCJAC0001,024006,1897,03,0.6,Y
IDCJAC0001,024006,1897,04,0.5,Y
IDCJAC0001,024006,1897,05,9.9,Y
IDCJAC0001,024006,1897,06,28.5,Y
IDCJAC0001,024006,1897,07,6.6,Y
IDCJAC0001,024006,1897,08,37.0,Y
IDCJAC0001,024006,1897,09,17.8,Y
IDCJAC0001,024006,1897,10,2.3,Y
IDCJAC0001,024006,1897,11,3.6,Y
IDCJAC0001,024006,1897,12,0.0,Y
IDCJAC0001,024006,1898,01,0.0,Y
IDCJAC0001,024006,1898,02,64.6,Y
IDCJAC0001,024006,1898,03,33.3,Y
IDCJAC0001,024006,1898,04,8.6,Y
IDCJAC0001,024006,1898,05,17.1,Y
IDCJAC0001,024006,1898,06,48.1,Y
IDCJAC0001,024006,1898,07,8.6,Y
IDCJAC0001,024006,1898,08,53.0,Y
IDCJAC0001,024006,1898,09,1.5,Y
IDCJAC0001,024006,1898,10,9.6,Y
IDCJAC0001,024006,1898,11,1.3,Y
IDCJAC0001,024006,1898,12,12.2,Y
IDCJAC0001,024006,1899,01,2.8,Y
IDCJAC0001,024006,1899,02,48.5,Y
IDCJAC0001,024006,1899,03,21.9,Y
IDCJAC0001,024006,1899,04,34.1,Y
IDCJAC0001,024006,1899,05,12.8,Y
IDCJAC0001,024006,1899,06,72.2,Y
IDCJAC0001,024006,1899,07,8.0,Y
IDCJAC0001,024006,1899,08,11.9,Y
IDCJAC0001,024006,1899,09,32.3,Y
IDCJAC0001,024006,1899,10,15.1,Y
IDCJAC0001,024006,1899,11,27.4,Y
IDCJAC0001,024006,1899,12,1.3,Y
IDCJAC0001,024006,1900,01,11.5,Y
IDCJAC0001,024006,1900,02,1.3,Y
IDCJAC0001,024006,1900,03,22.3,Y
IDCJAC0001,024006,1900,04,28.1,Y
IDCJAC0001,024006,1900,05,22.4,Y
IDCJAC0001,024006,1900,06,23.9,Y
IDCJAC0001,024006,1900,07,7.3,Y
IDCJAC0001,024006,1900,08,25.1,Y
IDCJAC0001,024006,1900,09,33.8,Y
IDCJAC0001,024006,1900,10,6.6,Y
IDCJAC0001,024006,1900,11,20.8,Y
IDCJAC0001,024006,1900,12,22.4,Y
IDCJAC0001,024006,1901,01,26.4,Y
IDCJAC0001,024006,1901,02,3.8,Y
IDCJAC0001,024006,1901,03,0.0,Y
IDCJAC0001,024006,1901,04,2.8,Y
IDCJAC0001,024006,1901,05,0.0,Y
IDCJAC0001,024006,1901,06,19.7,Y
IDCJAC0001,024006,1901,07,24.7,Y
IDCJAC0001,024006,1901,08,19.1,Y
IDCJAC0001,024006,1901,09,13.2,Y
IDCJAC0001,024006,1901,10,38.0,Y
IDCJAC0001,024006,1901,11,4.1,Y
IDCJAC0001,024006,1901,12,19.1,Y
IDCJAC0001,024006,1902,01,5.1,Y
IDCJAC0001,024006,1902,02,0.8,Y
IDCJAC0001,024006,1902,03,12.9,Y
IDCJAC0001,024006,1902,04,1.3,Y
IDCJAC0001,024006,1902,05,13.7,Y
IDCJAC0001,024006,1902,06,15.3,Y
